stage,trial_index,final_config_rank,replication,eval_seed,objective_value,alpha,gamma,epsilon_decay,epsilon_min,risk_t1,risk_window,label,error,episode,baseline_rule,action_random_seed,q_table_size,best_total_reward_so_far,random_seed,run_duration,due_date_lower_bound,due_date_upper_bound,rate_multiplier,risk_t2,agent_type,training,fixed_action,msg,n_orders_created,n_orders_completed,n_orders_in_date,n_orders_late,late_order_fraction,time_in_system_mean,time_in_system_std,time_in_system_min,time_in_system_max,wip_mean,wip_max,total_reward,n_eval_failures,n_decision_points,action_0_count,action_1_count,action_2_count,action_3_count,epsilon,preparation_capacity,sorting_capacity,analysis1_capacity,analysis2_capacity,evaluation_capacity,dispatching_capacity,worker_capacity
stage1_bo,1,,14,326345,-48.0,0.3220550875365734,0.8607261352241039,0.9855254992214962,0.17218870266340675,45.18554946407676,282.50871897675097,,,,,,,,326345,1440,4,8,0.9,327.6942684408277,q_learning,False,,simulation ended,535,281,148,133,0.47330960854092524,350.25084092989187,208.34492626223127,11.82614240193756,839.1500322213026,133.06154947202782,255,48.0,34,357,8,219,34,96,0.17218870266340675,1,1,1,1,1,1,1
stage1_bo,1,,15,327345,-83.0,0.3220550875365734,0.8607261352241039,0.9855254992214962,0.17218870266340675,45.18554946407676,282.50871897675097,,,,,,,,327345,1440,4,8,0.9,327.6942684408277,q_learning,False,,simulation ended,556,294,154,140,0.47619047619047616,353.34170292517786,213.57977019850162,16.544162234716865,792.8921517040205,136.6186340765332,264,83.0,19,357,86,133,22,116,0.17218870266340675,1,1,1,1,1,1,1
stage1_bo,1,,16,328345,206.0,0.3220550875365734,0.8607261352241039,0.9855254992214962,0.17218870266340675,45.18554946407676,282.50871897675097,,,,,,,,328345,1440,4,8,0.9,327.6942684408277,q_learning,False,,simulation ended,528,276,134,142,0.5144927536231884,348.47696809693787,197.66517422746364,9.866113810889903,776.1078432060004,129.12384642981777,252,-206.0,42,355,25,241,4,85,0.17218870266340675,1,1,1,1,1,1,1
stage1_bo,1,,17,329345,-101.0,0.3220550875365734,0.8607261352241039,0.9855254992214962,0.17218870266340675,45.18554946407676,282.50871897675097,,,,,,,,329345,1440,4,8,0.9,327.6942684408277,q_learning,False,,simulation ended,512,284,152,132,0.4647887323943662,313.65789211972316,187.32567591649183,9.879101366234648,859.7928531946501,110.08996564603814,229,101.0,33,358,42,198,30,88,0.17218870266340675,1,1,1,1,1,1,1
stage1_bo,1,,18,330345,384.0,0.3220550875365734,0.8607261352241039,0.9855254992214962,0.17218870266340675,45.18554946407676,282.50871897675097,,,,,,,,330345,1440,4,8,0.9,327.6942684408277,q_learning,False,,simulation ended,613,276,123,153,0.5543478260869565,408.153606711182,235.11123853979657,12.104969750158673,913.3327686285585,175.8695387715625,338,-384.0,28,355,36,214,7,98,0.17218870266340675,1,1,1,1,1,1,1
stage1_bo,1,,19,331345,-476.0,0.3220550875365734,0.8607261352241039,0.9855254992214962,0.17218870266340675,45.18554946407676,282.50871897675097,,,,,,,,331345,1440,4,8,0.9,327.6942684408277,q_learning,False,,simulation ended,528,278,167,111,0.39928057553956836,314.1231188122345,204.64473710595476,10.715534145572903,763.6666054234748,122.75888545668477,250,476.0,28,358,42,179,22,115,0.17218870266340675,1,1,1,1,1,1,1
stage1_bo,1,,20,332345,169.0,0.3220550875365734,0.8607261352241039,0.9855254992214962,0.17218870266340675,45.18554946407676,282.50871897675097,,,,,,,,332345,1440,4,8,0.9,327.6942684408277,q_learning,False,,simulation ended,595,283,138,145,0.5123674911660777,377.66379237982846,222.1393996574816,11.902551930267954,839.5290482757846,159.54872356859133,313,-169.0,33,355,105,236,9,5,0.17218870266340675,1,1,1,1,1,1,1
stage1_bo,1,,21,333345,-334.0,0.3220550875365734,0.8607261352241039,0.9855254992214962,0.17218870266340675,45.18554946407676,282.50871897675097,,,,,,,,333345,1440,4,8,0.9,327.6942684408277,q_learning,False,,simulation ended,531,272,159,113,0.41544117647058826,316.35237806976284,192.29716498474718,11.350712639490974,803.643049227339,123.75041321105593,262,334.0,42,348,240,98,8,2,0.17218870266340675,1,1,1,1,1,1,1
stage1_bo,1,,22,334345,-31.0,0.3220550875365734,0.8607261352241039,0.9855254992214962,0.17218870266340675,45.18554946407676,282.50871897675097,,,,,,,,334345,1440,4,8,0.9,327.6942684408277,q_learning,False,,simulation ended,554,283,148,135,0.47703180212014135,370.3209553406518,205.40510683790123,9.86054462359245,965.9115778866467,142.12413425519992,272,31.0,33,359,255,102,2,0,0.17218870266340675,1,1,1,1,1,1,1
stage1_bo,1,,23,335345,-685.0,0.3220550875365734,0.8607261352241039,0.9855254992214962,0.17218870266340675,45.18554946407676,282.50871897675097,,,,,,,,335345,1440,4,8,0.9,327.6942684408277,q_learning,False,,simulation ended,521,283,181,102,0.36042402826855124,302.1062176203341,183.58097687569682,11.00075071128366,974.2778746643837,114.11354165497497,238,685.0,35,357,260,54,5,38,0.17218870266340675,1,1,1,1,1,1,1
stage1_bo,1,,24,336345,116.0,0.3220550875365734,0.8607261352241039,0.9855254992214962,0.17218870266340675,45.18554946407676,282.50871897675097,,,,,,,,336345,1440,4,8,0.9,327.6942684408277,q_learning,False,,simulation ended,576,279,137,142,0.5089605734767025,375.53983154957496,204.99056317154594,10.049527712952708,959.9002782261837,149.7635530452347,297,-116.0,22,359,274,40,0,45,0.17218870266340675,1,1,1,1,1,1,1
stage1_bo,1,,25,337345,-62.0,0.3220550875365734,0.8607261352241039,0.9855254992214962,0.17218870266340675,45.18554946407676,282.50871897675097,,,,,,,,337345,1440,4,8,0.9,327.6942684408277,q_learning,False,,simulation ended,558,288,151,137,0.4756944444444444,337.14635701927045,194.52551052133742,10.287700534497965,971.184709474024,134.83492285531082,270,62.0,26,356,228,75,11,42,0.17218870266340675,1,1,1,1,1,1,1
stage1_bo,1,,26,338345,-963.0,0.3220550875365734,0.8607261352241039,0.9855254992214962,0.17218870266340675,45.18554946407676,282.50871897675097,,,,,,,,338345,1440,4,8,0.9,327.6942684408277,q_learning,False,,simulation ended,505,283,194,89,0.31448763250883394,271.335536192954,163.05017701603197,12.919051590771486,585.8950648464725,101.01474452687904,223,963.0,29,358,219,100,17,22,0.17218870266340675,1,1,1,1,1,1,1
stage1_bo,1,,27,339345,-170.0,0.3220550875365734,0.8607261352241039,0.9855254992214962,0.17218870266340675,45.18554946407676,282.50871897675097,,,,,,,,339345,1440,4,8,0.9,327.6942684408277,q_learning,False,,simulation ended,556,280,153,127,0.45357142857142857,334.6957431470646,204.48600544427188,12.971094116126267,1137.122440762825,132.8785693544596,278,170.0,30,358,232,70,27,29,0.17218870266340675,1,1,1,1,1,1,1
stage1_bo,1,,28,340345,6.0,0.3220550875365734,0.8607261352241039,0.9855254992214962,0.17218870266340675,45.18554946407676,282.50871897675097,,,,,,,,340345,1440,4,8,0.9,327.6942684408277,q_learning,False,,simulation ended,570,290,148,142,0.4896551724137931,348.08482296908664,187.7520644980225,11.7425146016126,950.0732183181346,135.13095355104335,280,-6.0,22,357,178,80,58,41,0.17218870266340675,1,1,1,1,1,1,1
stage1_bo,1,,29,341345,-124.0,0.3220550875365734,0.8607261352241039,0.9855254992214962,0.17218870266340675,45.18554946407676,282.50871897675097,,,,,,,,341345,1440,4,8,0.9,327.6942684408277,q_learning,False,,simulation ended,572,286,154,132,0.46153846153846156,360.3658718968249,200.50541631309787,12.492307912519305,1068.438343553591,146.04426334596488,287,124.0,32,360,26,0,250,84,0.17218870266340675,1,1,1,1,1,1,1
