label,error,replication,eval_seed,episode,baseline_rule,action_random_seed,q_table_size,best_total_reward_so_far,random_seed,run_duration,due_date_lower_bound,due_date_upper_bound,rate_multiplier,risk_t1,risk_window,risk_t2,agent_type,training,fixed_action,msg,n_orders_created,n_orders_completed,n_orders_in_date,n_orders_late,late_order_fraction,time_in_system_mean,time_in_system_std,time_in_system_min,time_in_system_max,wip_mean,wip_max,total_reward,n_eval_failures,n_decision_points,action_0_count,action_1_count,action_2_count,action_3_count,epsilon,preparation_capacity,sorting_capacity,analysis1_capacity,analysis2_capacity,evaluation_capacity,dispatching_capacity,worker_capacity
,,,,61,,,18,-11195.0,273345,7200.0,4,8,0.9,0.0,120.0,120.0,q_learning,True,,simulation ended,2837,1421,149,1272,0.8951442646023927,1720.8997950995945,1042.2211805540458,9.210747044064375,4008.700275606145,696.7137476723974,1416,-11701.0,157,1803,493,423,452,435,0.736559652908221,1,1,1,1,1,1,1
,,,,62,,,18,-11195.0,274345,7200.0,4,8,0.9,0.0,120.0,120.0,q_learning,True,,simulation ended,2708,1400,148,1252,0.8942857142857142,1675.2096321590675,997.4583491213431,10.58739344224029,4036.6872538476773,644.7762542765074,1310,-11511.0,157,1809,379,504,493,433,0.7328768546436799,1,1,1,1,1,1,1
,,,,63,,,18,-11195.0,275345,7200.0,4,8,0.9,0.0,120.0,120.0,q_learning,True,,simulation ended,2757,1438,136,1302,0.9054242002781642,1738.5859932518817,979.3423915694865,15.696972373966828,4003.887512022871,661.712665036871,1322,-12125.0,155,1801,395,479,517,410,0.7292124703704616,1,1,1,1,1,1,1
,,,,64,,,18,-11195.0,276345,7200.0,4,8,0.9,0.0,120.0,120.0,q_learning,True,,simulation ended,2747,1407,147,1260,0.8955223880597015,1730.2644306257444,1020.2658659450452,14.169142933867272,4193.185638664694,658.3402783137586,1340,-11622.0,164,1805,429,453,460,463,0.7255664080186093,1,1,1,1,1,1,1
,,,,65,,,18,-11195.0,277345,7200.0,4,8,0.9,0.0,120.0,120.0,q_learning,True,,simulation ended,2644,1412,145,1267,0.8973087818696884,1686.2591883979032,997.975019707288,9.877056696301851,4067.84025316475,625.3404158364135,1234,-11670.0,150,1796,416,504,456,420,0.7219385759785162,1,1,1,1,1,1,1
,,,,66,,,18,-11195.0,278345,7200.0,4,8,0.9,0.0,120.0,120.0,q_learning,True,,simulation ended,2755,1409,135,1274,0.9041873669268985,1718.5763567759889,1013.4994074295222,9.393024945164841,4602.564604275629,673.7503053281101,1346,-11888.0,166,1794,418,434,469,473,0.7183288830986236,1,1,1,1,1,1,1
,,,,67,,,18,-11195.0,279345,7200.0,4,8,0.9,0.0,120.0,120.0,q_learning,True,,simulation ended,2780,1419,143,1276,0.8992248062015504,1710.6021596321464,1017.6668091629551,17.365773308661172,4076.8386410492976,664.288959182904,1362,-11807.0,159,1796,399,515,425,457,0.7147372386831305,1,1,1,1,1,1,1
,,,,68,,,18,-11195.0,280345,7200.0,4,8,0.9,0.0,120.0,120.0,q_learning,True,,simulation ended,2721,1390,159,1231,0.8856115107913669,1718.016322558096,1028.7510868705708,11.802194370894822,4426.5595730599,654.4360302024498,1331,-11239.0,173,1802,447,464,454,437,0.7111635524897149,1,1,1,1,1,1,1
,,,,69,,,18,-11195.0,281345,7200.0,4,8,0.9,0.0,120.0,120.0,q_learning,True,,simulation ended,2782,1400,131,1269,0.9064285714285715,1752.2799599607063,1025.337703292376,9.033013692589769,4252.050173995493,677.9703925084389,1383,-11860.0,160,1797,423,481,431,462,0.7076077347272662,1,1,1,1,1,1,1
,,,,70,,,18,-11195.0,282345,7200.0,4,8,0.9,0.0,120.0,120.0,q_learning,True,,simulation ended,2764,1419,135,1284,0.904862579281184,1703.581435389461,1001.9960435442841,12.276164637710647,4038.326260738381,673.2384582681004,1346,-11919.0,143,1795,481,512,421,381,0.7040696960536299,1,1,1,1,1,1,1
,,,,71,,,18,-11195.0,283345,7200.0,4,8,0.9,0.0,120.0,120.0,q_learning,True,,simulation ended,2729,1379,126,1253,0.9086294416243654,1772.0574396753902,1036.8405448677634,12.950895546947237,4216.161258864478,672.3619829336262,1353,-11804.0,178,1796,476,450,380,490,0.7005493475733617,1,1,1,1,1,1,1
,,,,72,,,18,-11195.0,284345,7200.0,4,8,0.9,0.0,120.0,120.0,q_learning,True,,simulation ended,2791,1413,126,1287,0.910828025477707,1763.1834195595154,996.9537300624681,12.246926248135566,4108.6096349757245,675.48143035729,1378,-12087.0,159,1798,477,429,455,437,0.697046600835495,1,1,1,1,1,1,1
,,,,73,,,18,-11195.0,285345,7200.0,4,8,0.9,0.0,120.0,120.0,q_learning,True,,simulation ended,2700,1404,141,1263,0.8995726495726496,1673.3663356499105,986.4107124756384,13.342070601781758,3905.7276069881436,628.5972949172041,1296,-11733.0,171,1791,445,434,462,450,0.6935613678313175,1,1,1,1,1,1,1
,,,,74,,,18,-11195.0,286345,7200.0,4,8,0.9,0.0,120.0,120.0,q_learning,True,,simulation ended,2821,1417,130,1287,0.908256880733945,1834.9228220125187,1036.2995902160856,9.541709726647824,4143.447528251974,719.9581490426199,1404,-12047.0,159,1799,462,426,478,433,0.6900935609921609,1,1,1,1,1,1,1
