method,run_index,final_best_objective,objective_mean,objective_std,n_valid_replications,preparation_capacity,sorting_capacity,analysis1_capacity,analysis2_capacity,evaluation_capacity,dispatching_capacity,worker_capacity,n_orders_completed_mean,n_orders_in_date_mean,n_orders_late_mean,n_orders_created_mean,n_orders_incomplete_mean,late_order_fraction_mean,time_in_system_mean_mean,time_in_system_std_mean,wip_time_in_system_mean_mean,wip_time_in_system_std_mean,wip_time_in_system_min_mean,wip_time_in_system_max_mean,wip_mean_mean,work_in_progress_mean_mean,completed_norm_mean,late_total_norm_mean,on_time_loss_norm_mean,station_capacity_norm_mean,worker_capacity_norm_mean,time_in_system_mean_norm_mean,time_in_system_std_norm_mean,objective_completed_contribution_mean,objective_late_contribution_mean,objective_station_capacity_contribution_mean,objective_worker_capacity_contribution_mean,objective_time_mean_contribution_mean,objective_time_std_contribution_mean
random_search,10,0.3576546387565674,3.4315692346273883,0.1248358128005305,30,2,5,1,5,1,2,9,160.3,95.23333333333332,65.06666666666666,1005.4,845.1,0.2045873088810009,209.75024487076288,114.59790084837152,605.2094847903663,349.7451216029632,1.545959414406957,1217.8020489530502,400.912122507767,400.912122507767,0.1603604613562036,0.9048098079683222,0.9048098079683222,0.4166666666666666,0.888888888888889,0.5826395690854524,0.3183275023565875,-0.1603604613562036,2.7144294239049658,0.3333333333333334,0.3111111111111111,0.233055827634181,0.0
random_search,11,-0.0505250258741243,3.1961024244890037,0.0492197504567574,30,2,1,1,1,1,4,5,298.5,107.1,191.4,1003.9,705.4,0.602198515898765,472.6408667426531,263.6763692725038,504.4697003164689,291.7745089834142,1.1597161356964458,1015.7444934867156,353.54118230142984,353.54118230142984,0.297530738736755,0.8931959185779736,0.8931959185779736,0.1666666666666667,0.4444444444444445,1.31289129650737,0.7324343590902883,-0.297530738736755,2.6795877557339205,0.1333333333333333,0.1555555555555555,0.525156518602948,0.0
random_search,12,-0.2459746894454788,1.873095906606352,0.1801625263898759,30,2,2,5,2,3,5,4,632.3333333333334,441.23333333333335,191.1,994.0,361.6666666666667,0.3022957597228923,265.0192574700416,142.81398492851233,256.2542453516658,147.54657374348508,1.4361375769891462,517.3154043407762,180.96080681554517,180.96080681554517,0.6366033635037248,0.5550778094922324,0.5550778094922324,0.5416666666666665,0.3333333333333334,0.7361646040834491,0.396705513690312,-0.6366033635037248,1.6652334284766972,0.4333333333333334,0.1166666666666666,0.2944658416333796,0.0
random_search,13,-0.1257562593992733,2.382016283019182,0.1083002818911337,30,1,3,3,2,5,3,2,544.5666666666667,286.43333333333334,258.1333333333333,1001.5333333333332,456.9666666666666,0.4741286446278574,342.0019643798804,184.78628966802387,328.03261072381883,189.4856940305473,1.5757362541633255,666.6736813600417,233.60331542359427,233.60331542359427,0.5441955943564499,0.713551379725255,0.713551379725255,0.4583333333333334,0.1111111111111111,0.9500054566107788,0.5132952490778441,-0.5441955943564499,2.1406541391757643,0.3666666666666668,0.0388888888888888,0.3800021826443115,0.0
random_search,14,-0.1099372203895398,3.2105838022865845,0.1284184974147834,30,4,5,1,4,1,1,3,112.3,84.66666666666667,27.633333333333333,1003.3,891.0,0.0965886518864555,149.05108845477773,77.53384904495448,643.2784971110442,370.92629146985377,1.2281104305823418,1283.331655703024,422.5435193674437,422.5435193674437,0.1122403857835265,0.9153669188178968,0.9153669188178968,0.4166666666666666,0.2222222222222222,0.4140308012632716,0.2153718029026513,-0.1122403857835265,2.7461007564536906,0.3333333333333334,0.0777777777777777,0.1656123205053086,0.0
random_search,15,-0.2465449234040508,3.1324285957008224,0.0479309355526442,30,3,1,1,1,1,2,4,310.03333333333336,109.76666666666668,200.26666666666668,1008.9666666666668,698.9333333333333,0.6323122415449464,494.83338248919495,275.854006854595,500.83359316169367,290.70736711309485,1.3494877303846426,1002.1902354196396,352.1445461388564,352.1445461388564,0.3073504158018103,0.8910991584678425,0.8910991584678425,0.125,0.3333333333333334,1.3745371735810972,0.7662611301516529,-0.3073504158018103,2.6732974754035275,0.1,0.1166666666666666,0.5498148694324388,0.0
random_search,16,-0.2356058598329696,1.3648464554460948,0.1879490852596742,30,5,3,2,1,4,3,4,705.1,570.4333333333333,134.66666666666666,1006.7666666666668,301.6666666666667,0.1912018238096259,226.2644031744491,120.44070608411792,219.6685758470723,126.0046664437542,1.561787505179518,439.3787481495236,157.01539573301136,157.01539573301136,0.7008239864638639,0.4325329609424125,0.4325329609424125,0.5,0.3333333333333334,0.6285122310401365,0.3345575169003276,-0.7008239864638639,1.2975988828272371,0.4000000000000001,0.1166666666666666,0.2514048924160545,0.0
random_search,17,0.0054858345582523,1.2486230056469136,0.4412099114863288,30,2,3,2,3,3,5,4,682.6666666666666,594.4666666666667,88.2,995.0,312.3333333333333,0.1230999707222776,194.52700363122509,103.28852364563754,222.2411357101169,130.10711460548683,2.0886532500124075,454.5635020989331,150.40704004241832,150.40704004241832,0.6872006714744248,0.4010052984362886,0.4010052984362886,0.5,0.3333333333333334,0.5403527878645141,0.2869125656823265,-0.6872006714744248,1.2030158953088663,0.4000000000000001,0.1166666666666666,0.2161411151458057,0.0
random_search,18,0.0825141688338027,2.1112566081921726,0.2101416364838414,30,3,2,4,5,2,2,8,630.7333333333333,414.9666666666666,215.76666666666668,1005.2333333333332,374.5,0.3422230442998577,278.79609867069087,149.9391059765761,268.36305039149954,155.9544940519283,1.2862277960641146,543.0166278256854,192.24229719180312,192.24229719180312,0.6280389873842057,0.5857666434622407,0.5857666434622408,0.5,0.777777777777778,0.7744336074185857,0.4164975166016003,-0.6280389873842057,1.757299930386722,0.4000000000000001,0.2722222222222222,0.3097734429674342,0.0
random_search,19,-0.178279865813428,3.285307992502506,0.0700842226621712,30,2,5,1,3,5,1,7,372.8666666666667,148.66666666666666,224.2,1000.8666666666668,628.0,0.6014888255430204,453.73980759221416,252.9471157971178,447.05516369581056,259.87077922250285,1.0644486150905323,903.8746821019888,312.5366703743685,312.5366703743685,0.372807093040691,0.8513199145913569,0.8513199145913569,0.4583333333333334,0.6666666666666669,1.260388354422817,0.7026308772142162,-0.372807093040691,2.55395974377407,0.3666666666666668,0.2333333333333333,0.5041553417691269,0.0
